Date : 2024-01-15 13:05:50
Directory : c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1
Total : 72 files,  -70 codes, -38 comments, -35 blanks, all -143 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\resources\notes_off.svg                   | XML      |         91 |          0 |          1 |         92 |
| c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\resources\notes_on.svg                    | XML      |         63 |          0 |          1 |         64 |
| c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\resources\resign.svg                      | XML      |         65 |          0 |          1 |         66 |
| c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\resources\settings.svg                    | XML      |         11 |          0 |          1 |         12 |
| c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\resources\stats.svg                       | XML      |         20 |          0 |          1 |         21 |
| c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\resources\undo.svg                        | XML      |        110 |          0 |          1 |        111 |
| c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\solver.py                                 | Python   |         57 |          0 |         18 |         75 |
| c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\sudoku.py                                 | Python   |         23 |          0 |          8 |         31 |
| c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\terminal.py                               | Python   |        280 |          7 |         27 |        314 |
| c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\ui.py                                     | Python   |         18 |          0 |          7 |         25 |
| Total                                                                                              |          |        -70 |        -38 |        -35 |       -143 |
+----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
